split	method	action	n	success	failure	tp	tn	fp	fn	success_recall	failure_recall	balanced_accuracy	brier	log_loss	ece_5
test	v5_force_d1	insert	42	38	4	37	0	4	1	0.9736842105263158	0.0	0.4868421052631579	0.11294916629042591	0.3938798249933334	0.11675885307393993
test	v5_force_d1	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.09521274930335955	0.34324631445774073	0.03209242618741981
test	v5_force_d2	pick	43	39	4	35	1	3	4	0.8974358974358975	0.25	0.5737179487179487	0.09279833702643256	0.3949123002637647	0.07301888361008556
test	v5_force_d2	insert	42	38	4	32	0	4	6	0.8421052631578947	0.0	0.42105263157894735	0.12516389377474726	0.41687374635570945	0.1028138528138528
test	v5_force_d2	remove	19	17	2	6	1	1	11	0.35294117647058826	0.5	0.42647058823529416	0.10518576341507402	0.3987272356694804	0.028898506212480777
test	v5_selected	pick	43	39	4	39	2	2	0	1.0	0.5	0.75	0.04605521782637458	0.2093845477983573	0.03533393361691557
test	v5_selected	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.12776489938764046	0.39394317995705	0.06694380369346471
test	v5_selected	remove	19	17	2	4	1	1	13	0.23529411764705882	0.5	0.36764705882352944	0.1218171775860755	0.45392753418050746	0.0474268369005211
test	v5_state_d1	pick	43	39	4	39	2	2	0	1.0	0.5	0.75	0.04605521782637458	0.2093845477983573	0.03533393361691557
test	v5_state_d1	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.14149582735446736	0.4619406208525636	0.08266193075168211
test	v5_state_d1	remove	19	17	2	13	2	0	4	0.7647058823529411	1.0	0.8823529411764706	0.07244894377056689	0.22823847276194362	0.04486540378863413
test	v5_state_d2	pick	43	39	4	38	2	2	1	0.9743589743589743	0.5	0.7371794871794872	0.04853669694051807	0.23881642994601665	0.0506807374112436
test	v5_state_d2	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.12776489938764046	0.39394317995705	0.06694380369346471
test	v5_state_d2	remove	19	17	2	14	0	2	3	0.8235294117647058	0.0	0.4117647058823529	0.1081271150873135	0.3406820927602265	0.13508063087010452
test	v5_text_prior	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.08457663250342949	0.3088159847786466	0.07807560656397865
test	v5_text_prior	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.14921949166325324	0.473549276212711	0.1715170411598983
test	v5_text_prior	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.1019811433345268	0.3584246094402169	0.10776942355889724
