outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-11-15-35-08	state_force	pick	0.01	0.95	0.5343642611683849	0.05572834419964957	0.16520176849049922
2025-01-11-15-35-08	state_force	insert	0.1	0.5	0.7645042194092827	0.12479816704674287	0.7604319718966231
2025-01-11-15-35-08	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-11-15-35-08	state_force_duration	pick	0.01	0.95	0.5395189003436426	0.055748685098227155	0.16503564532427856
2025-01-11-15-35-08	state_force_duration	insert	0.1	0.5	0.7645042194092827	0.12458862697107224	0.7591056551112607
2025-01-11-15-35-08	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-11-15-35-08	state_force_peak	pick	1.0	0.95	0.5798969072164948	0.06177483161633035	1.3896532766011847
2025-01-11-15-35-08	state_force_peak	insert	1.0	0.5	0.7645042194092827	0.128413896182423	1.3812603413455613
2025-01-11-15-35-08	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-13-11-31-57	duration	pick	1.0	0.975	0.5212765957446809	0.049432051006827016	0.4178009199638022
2025-01-13-11-31-57	duration	insert	10.0	0.8	0.5585839598997493	0.17031038074312957	0.3595432336043094
2025-01-13-11-31-57	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-13-11-31-57	state	pick	10.0	0.95	0.5670212765957447	0.06538979549492889	3.0719471951827053
2025-01-13-11-31-57	state	insert	1.0	0.7	0.7766290726817042	0.12355545481103224	1.1779377475030575
2025-01-13-11-31-57	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-13-11-31-57	force	pick	1.0	0.975	0.597872340425532	0.053770337362659036	1.6004988753808795
2025-01-13-11-31-57	force	insert	10.0	0.85	0.6983082706766917	0.15493414192995678	6.541093134519971
2025-01-13-11-31-57	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-13-11-31-57	state_force	pick	0.01	0.95	0.5457446808510639	0.048804505055425704	0.1682348204612003
2025-01-13-11-31-57	state_force	insert	1.0	0.55	0.7659774436090225	0.11494142519981121	2.119465871717718
2025-01-13-11-31-57	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-13-11-31-57	state_force_duration	pick	0.01	0.95	0.5457446808510639	0.04881885653735595	0.1681075827246243
2025-01-13-11-31-57	state_force_duration	insert	1.0	0.55	0.7659774436090225	0.11503640713333037	2.1176941762563066
2025-01-13-11-31-57	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-13-11-31-57	state_force_peak	pick	10.0	0.25	0.6	0.05715858368265471	4.498470653121256
2025-01-13-11-31-57	state_force_peak	insert	1.0	0.6	0.7725563909774436	0.12751353683236408	1.3209176475923434
2025-01-13-11-31-57	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-13-15-06-09	duration	pick	10.0	0.95	0.578525641025641	0.05295401878402147	0.33929033701153516
2025-01-13-15-06-09	duration	insert	1.0	0.75	0.5611764705882353	0.1748229384882424	0.36574202081928436
2025-01-13-15-06-09	duration	remove	0.01	0.5	0.5	0.1051357864022244	0.0017527007262110974
2025-01-13-15-06-09	state	pick	0.1	0.975	0.5416666666666667	0.05293157063820819	0.417192819305502
2025-01-13-15-06-09	state	insert	1.0	0.6	0.788235294117647	0.11911891991320879	1.262195056711662
2025-01-13-15-06-09	state	remove	0.1	0.8	0.6944444444444444	0.09328002945776757	0.49511265895527506
2025-01-13-15-06-09	force	pick	10.0	0.15	0.5833333333333334	0.056893582702430036	3.4804701552919455
2025-01-13-15-06-09	force	insert	10.0	0.8	0.7058823529411765	0.15486856040871166	6.486157651203691
2025-01-13-15-06-09	force	remove	10.0	0.65	0.5932539682539683	0.12805842670440773	4.2072323364013275
2025-01-13-15-06-09	state_force	pick	0.01	0.5	0.5	0.05220479781693901	0.16960646707817537
2025-01-13-15-06-09	state_force	insert	1.0	0.5	0.7741176470588236	0.11776508825678633	2.226799000331384
2025-01-13-15-06-09	state_force	remove	0.1	0.9	0.6775793650793651	0.09982078224662787	0.5347638486688576
2025-01-13-15-06-09	state_force_duration	pick	0.01	0.5	0.5	0.0522216046887001	0.16942663710460945
2025-01-13-15-06-09	state_force_duration	insert	1.0	0.5	0.7741176470588236	0.11787955057680581	2.2248084689159
2025-01-13-15-06-09	state_force_duration	remove	0.1	0.9	0.6775793650793651	0.09996464764365601	0.5347644969626749
2025-01-13-15-06-09	state_force_peak	pick	1.0	0.95	0.6057692307692308	0.058137816254117666	1.4054438073234052
2025-01-13-15-06-09	state_force_peak	insert	10.0	0.5	0.7741176470588236	0.12198031179262074	4.5341878954150125
2025-01-13-15-06-09	state_force_peak	remove	0.1	0.9	0.6934523809523809	0.09645264150340804	0.5049055890480639
2025-01-13-17-40-45	duration	pick	0.01	0.5	0.5	0.05590904177644452	0.016547944662385704
2025-01-13-17-40-45	duration	insert	10.0	0.75	0.5727848101265822	0.17897096764956538	0.3493571015733001
2025-01-13-17-40-45	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
