outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-13-17-51-11	state_force_peak	pick	1.0	0.95	0.6057692307692308	0.058137816254117666	1.4054438073234052
2025-01-13-17-51-11	state_force_peak	insert	10.0	0.5	0.7741176470588236	0.12198031179262074	4.5341878954150125
2025-01-13-17-51-11	state_force_peak	remove	0.1	0.85	0.6495253164556962	0.07589343778979883	0.4997421816476284
2025-01-13-18-32-31	duration	pick	1.0	0.975	0.5058139534883721	0.053569053533001246	0.250295078134513
2025-01-13-18-32-31	duration	insert	1.0	0.85	0.5172535211267606	0.17394704882104273	0.24835777623708896
2025-01-13-18-32-31	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-13-18-32-31	state	pick	0.01	0.5	0.5	0.05272244019792829	0.07184017381526048
2025-01-13-18-32-31	state	insert	0.1	0.8	0.796830985915493	0.11038409220956956	0.7001666069772189
2025-01-13-18-32-31	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-13-18-32-31	force	pick	10.0	0.25	0.6	0.05461033734482128	4.303111424742881
2025-01-13-18-32-31	force	insert	10.0	0.75	0.6841549295774648	0.16869992472128686	5.250582780579635
2025-01-13-18-32-31	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-13-18-32-31	state_force	pick	10.0	0.6	0.5651162790697675	0.08020710422075167	5.770289188064762
2025-01-13-18-32-31	state_force	insert	0.1	0.7	0.7718309859154929	0.11684557340045645	0.7943488075264685
2025-01-13-18-32-31	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-13-18-32-31	state_force_duration	pick	10.0	0.6	0.5651162790697675	0.08068977104103749	5.77141815140406
2025-01-13-18-32-31	state_force_duration	insert	0.1	0.75	0.7718309859154929	0.11699457930139665	0.7946476672648812
2025-01-13-18-32-31	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-13-18-32-31	state_force_peak	pick	10.0	0.55	0.5825581395348838	0.08051158623347637	4.4115646825006705
2025-01-13-18-32-31	state_force_peak	insert	0.1	0.8	0.7718309859154929	0.1199560911266657	0.7072491201785198
2025-01-13-18-32-31	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-13-19-04-46	duration	pick	10.0	0.95	0.5735294117647058	0.05394846834371341	0.33663089238516086
2025-01-13-19-04-46	duration	insert	10.0	0.8	0.5930946291560102	0.1651084698145342	0.45834579853217094
2025-01-13-19-04-46	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-13-19-04-46	state	pick	0.1	0.975	0.5441176470588236	0.053948112029284505	0.4127278282155942
2025-01-13-19-04-46	state	insert	1.0	0.65	0.7649616368286445	0.12439699682178676	1.178384875829847
2025-01-13-19-04-46	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-13-19-04-46	force	pick	10.0	0.15	0.5833333333333334	0.058132299558657695	3.4880600366055887
2025-01-13-19-04-46	force	insert	10.0	0.75	0.70076726342711	0.14362853434484682	6.462940381927864
