name	compress_type	compressed_bytes	uncompressed_bytes	header_offset	crc32	flag_bits
data/2025-01-13-16-57-41.h5	8	214498602	948412740	14106009959	23e41b2e	8
data/2025-01-13-09-51-50.h5	8	350067945	1615026006	14320508666	c8d9988e	8
data/2025-01-11-15-10-57.h5	8	428675034	2019101212	14670576716	01b85922	8
data/2025-01-09-16-55-42.h5	8	474753369	2207257578	15099251855	455839b9	8
data/2025-01-11-11-21-44.h5	8	459700111	2052225741	15574005329	74ff71e9	8
data/2025-01-11-13-55-45.h5	8	89175160	376933355	16033705545	e0288377	8
data/2025-01-14-10-49-57.h5	8	285929115	1308855377	16122880810	c1889688	8
data/2025-01-10-16-37-45.h5	8	632326954	2788600595	16408810030	37160f4d	8
data/2025-01-09-14-40-21.h5	8	372200602	1616602437	17041137089	556b2ade	8
data/2025-01-09-18-08-36.h5	8	594469518	2530007432	17413337796	2dcdb0ce	8
data/2025-01-09-14-11-58.h5	8	419555065	1802541010	18007807419	2bec9f7e	8
data/2025-01-09-14-57-02.h5	8	281257505	1223824262	18427362589	e248506b	8
data/2025-01-13-10-05-22.h5	8	691944293	3132829709	18708620199	790a188a	8
data/2025-01-10-17-25-29.h5	8	692672013	3050575599	19400564597	3258f9ef	8
data/2025-01-09-18-18-47.h5	8	137562823	601959210	20093236715	da8940ce	8
data/2025-01-13-17-40-45.h5	8	226494967	1003655666	20230799643	67848f09	8
data/2025-01-13-17-34-32.h5	8	357135521	1660694262	20457294715	c571a350	8
data/2025-01-09-19-15-33.h5	8	545565788	2385708909	20814430341	1de6fea4	8
data/2025-01-14-10-05-38.h5	8	289391592	1300223425	21359996234	f86812b0	8
data/2025-01-13-09-43-29.h5	8	546756761	2430490206	21649387931	eb6e603d	8
data/2025-01-13-15-18-12.h5	8	240532583	1069600034	22196144797	fe1c069f	8
data/2025-01-09-17-14-59.h5	8	461431148	2131263990	22436677485	d1227347	8
data/2025-01-10-15-28-50.h5	8	277895994	1194577758	22898108738	57ac837a	8
data/2025-01-14-11-30-33.h5	8	232704537	1067089543	23176004837	793d42be	8
data/2025-01-10-17-54-09.h5	8	661839106	3019482301	23408709479	c8c3e399	8
data/2025-01-14-11-50-46.h5	8	145768447	695991766	24070548690	92f27729	8
data/2025-01-13-11-01-25.h5	8	373102125	1703564681	24216317242	b0f46aa0	8
data/2025-01-11-14-09-00.h5	8	348941968	1505842772	24589419472	9d2ec080	8
data/2025-01-13-11-18-57.h5	8	248715778	1157012353	24938361545	b4ed2561	8
data/2025-01-13-15-11-07.h5	8	441564501	1919725112	25187077428	4b77472d	8
data/2025-01-13-16-52-33.h5	8	294794597	1350539762	25628642034	68128af2	8
data/2025-01-10-18-23-40.h5	8	431144056	1879604370	25923436736	8320389c	8
data/2025-01-11-15-02-03.h5	8	621369749	2849788808	26354580897	e4cc904e	8
data/2025-01-09-13-57-17.h5	8	92626662	382120140	26975950751	6cab1d69	8
data/2025-01-09-17-40-57.h5	8	259434143	1099350159	27068577518	980cfd9c	8
data/2025-01-11-13-42-45.h5	8	152961582	648715712	27328011766	3ae31ee9	8
data/2025-01-11-15-18-22.h5	8	546192734	2332023867	27480973453	62b05759	8
data/2025-01-13-17-52-32.h5	8	330875276	1567406910	28027166292	14cbcf90	8
data/2025-01-11-12-22-42.h5	8	478774975	2135338651	28358041673	1f714234	8
data/2025-01-14-10-28-24.h5	8	303560668	1362584481	28836816753	0a4851e9	8
data/2025-01-09-19-06-44.h5	8	394286616	1729515061	29140377526	1a309285	8
data/2025-01-09-18-44-37.h5	8	436933402	1978562065	29534664247	25293b48	8
data/2025-01-09-17-51-35.h5	8	583463817	2575814219	29971597754	3cda7221	8
data/2025-01-10-18-12-06.h5	8	741170426	3244181497	30555061676	1c1a98dc	8
data/2025-01-10-15-40-55.h5	8	481328342	2131094625	31296232207	68ef39a3	8
data/2025-01-13-19-08-03.h5	8	412592465	1808669666	31777560654	123fe628	8
data/2025-01-14-11-36-55.h5	8	658376005	3085984132	32190153224	04f9c5e1	8
data/2025-01-13-16-06-01.h5	8	593327659	2690166422	32848529334	0fa61e15	8
data/2025-01-14-10-34-43.h5	8	552075536	2381628330	33441857098	d8d15e3e	8
data/2025-01-13-14-57-37.h5	8	570356883	2526968945	33993932739	97497a9f	8
data/2025-01-13-16-14-09.h5	8	354490892	1637989451	34564289727	61970542	8
data/2025-01-14-10-57-14.h5	8	682580494	3123151042	34918780724	12b64fa5	8
data/2025-01-10-17-19-03.h5	8	360959158	1603647908	35601361323	e6aba590	8
data/2025-01-09-15-30-21.h5	8	437872059	2010820296	35962320586	f5e862f2	8
data/2025-01-10-17-36-05.h5	8	357452489	1600748730	36400192750	c370718a	8
data/2025-01-09-17-03-05.h5	8	809379178	3596796616	36757645344	434cc237	8
data/2025-01-09-15-27-49.h5	8	145316752	638989160	37567024627	d4da1dd0	8
